,manchete,f1,f2,f3,sent_manchete,pol_manchete,sent1,pol1,sent2,pol2,sent3,pol3,sent_geral,pol_geral
0,"Boletim Focus: mercado reduz para 6,02% projeção do IPCA para 2023","As projeções de inflação no Boletim Focus apresentaram leve queda para 2023, mas permanecem acima do teto da meta, indicando o risco de descumprimento do mandato do Banco Central.","O cenário para a política monetária mantém a expectativa de estabilidade na Selic até o fim de 2024, com possibilidade de alta caso a inflação não converja conforme o esperado.","Além disso, as estimativas econômicas indicam crescimento moderado do PIB, aumento da dívida pública e melhora nas contas externas, refletindo um cenário de estabilidade e cautela na condução da política econômica.",Felicidade,Positivo,Medo,Negativo,Medo,Negativo,Felicidade,Neutro,Medo,Neutro
1,Economistas reduzem para baixo projeção do PIB de 2022 (e não devem parar),"As projeções de crescimento do PIB brasileiro para 2022 foram revisadas para abaixo de 2%, refletindo a deterioração do cenário econômico devido às crises política e econômica, além dos efeitos da pandemia.","Economistas destacam que, mesmo com a reabertura, o país enfrenta alta de juros, inflação elevada, desemprego recorde e incertezas políticas que prejudicam a confiança e a recuperação econômica.","Como resultado, as expectativas de crescimento continuam a ser revistas para baixo, indicando um cenário de recuperação frágil e incerta para o próximo ano.",Medo,Negativo,Tristeza,Negativo,Medo,Negativo,Medo,Negativo,Medo,Negativo
2,Autoridades do BCE debatem em Sintra futuro de aperto monetário,"Autoridades do Banco Central Europeu discutem nesta semana o momento adequado para encerrar o ciclo de aumento de juros, que já elevou a taxa básica em 400 pontos-base desde a última reunião.","O debate envolve a necessidade de avaliar os efeitos do aperto monetário, considerando sinais de fraqueza econômica na zona do euro e projeções de inflação, com a possibilidade de uma alta adicional em setembro.","Especialistas alertam para a persistência da inflação, especialmente no núcleo, e destacam a importância de uma abordagem gradual, enquanto fatores externos, como a crise no Reino Unido, reforçam a complexidade do cenário global.",Medo,Negativo,Medo,Negativo,Medo,Negativo,Medo,Negativo,Medo,Negativo
3,"“Não basta pacote estar na direção certa, tem de chegar ao destino de interromper alta da dívida”","O pacote fiscal do governo Lula é considerado na direção correta para conter o crescimento das despesas públicas, mas ainda insuficiente para interromper a alta da dívida pública, segundo Isaac Sidney, presidente da Febraban.","O setor bancário acredita que o cenário econômico apresenta riscos, como a deterioração do ambiente macro e o aumento da inadimplência, especialmente devido aos jogos de azar que podem elevar o endividamento familiar.","Apesar das projeções de crescimento do crédito para 2025, há preocupação com possíveis impactos negativos na saúde financeira das famílias e na estabilidade econômica.",Medo,Negativo,Medo,Negativo,Medo,Negativo,Medo,Negativo,Medo,Negativo
4,"PMI industrial da zona do euro cai a 62,8 em julho","A atividade manufatureira na zona do euro continuou a expandir-se em julho, impulsionada pela reabertura da economia e aumento da demanda.","No entanto, gargalos de oferta elevaram os preços dos insumos e dos produtos acabados, com o índice de preços atingindo níveis recordes desde 1997.","Apesar de uma ligeira desaceleração em relação ao mês anterior, o setor manteve crescimento, indicando continuidade na recuperação econômica da região.",Tristeza,Negativo,Felicidade,Positivo,Medo,Negativo,Felicidade,Positivo,Felicidade,Positivo
5,Haddad afirma que resultado primário depende do Congresso Nacional,"O ministro da Fazenda, Fernando Haddad, afirmou que o resultado primário do país depende do Congresso Nacional e que a meta de zerar o déficit em 2024 enfrenta desafios devido a fatores políticos e econômicos.","Ele destacou esforços do governo para corrigir erros passados e a necessidade de apoio do Congresso e da sociedade para implementar medidas fiscais, além de mencionar uma arrecadação de janeiro que sinaliza um horizonte melhor.","Internamente, o governo discute a possibilidade de alterar a meta fiscal, com a decisão final a ser tomada pelo presidente, dependendo de propostas de mudança na Lei de Diretrizes Orçamentárias.",Medo,Negativo,Medo,Negativo,Raiva,Negativo,Medo,Negativo,Medo,Negativo
6,"Investimento Direto no País soma US$ 3,312 bilhões em abril, revela Banco Central","Os Investimentos Diretos no País (IDP) totalizaram US$ 3,312 bilhões em abril, valor abaixo da estimativa de US$ 4,5 bilhões e do mesmo período do ano anterior, de US$ 11,084 bilhões.","No acumulado de 2023, o fluxo de IDP atingiu US$ 24,313 bilhões, com destaque para o investimento em ações brasileiras positivo em US$ 654 milhões e em títulos de renda fixa em US$ 3,852 bilhões.","A taxa de rolagem de empréstimos de médio e longo prazos captados no exterior ficou em 42% em abril, indicando uma captação insuficiente para cobrir compromissos das empresas, contra 83% em abril de 2022.",Felicidade,Positivo,Tristeza,Negativo,Felicidade,Positivo,Medo,Negativo,Medo,Negativo
7,Ministério do Trabalho divulga dados do Caged de junho nesta quinta-feira; saiba o que esperar,"O Ministério do Trabalho e Emprego divulgou os dados do Caged referentes a junho, indicando uma projeção de criação de 164 mil empregos formais, abaixo do registrado em 2022.","Em maio, foram gerados 155,27 mil postos de trabalho, uma queda de 44% em relação ao mesmo mês do ano anterior, e o saldo acumulado nos cinco primeiros meses do governo Lula foi de 865,3 mil empregos.","Os números do Caged, que abrangem apenas trabalhadores com carteira assinada, são utilizados para monitorar o mercado de trabalho e orientar políticas públicas, diferindo das estatísticas do IBGE que consideram toda a força de trabalho, formal e informal.",Medo,Negativo,Tristeza,Negativo,Medo,Negativo,Neutro,Neutro,Neutro,Negativo
8,"Campos Neto afirma que PIB de 0,9% no 2º trimestre foi 'uma boa surpresa'","O presidente do Banco Central, Roberto Campos Neto, destacou que o crescimento de 0,9% do PIB no segundo trimestre foi uma surpresa positiva, superando a expectativa de 0,3% do mercado financeiro.","O resultado, que indica uma alta de 3,4% em relação ao mesmo período do ano passado, elevou a economia brasileira a 7,4% acima do nível pré-pandemia, atingindo o maior patamar da série histórica.","O desempenho econômico reforça a projeção de crescimento de 2,31% para 2023, conforme o Boletim Focus do Banco Central.",Felicidade,Positivo,Felicidade,Positivo,Felicidade,Positivo,Felicidade,Positivo,Felicidade,Positivo
9,Embraer e Airbus estão no páreo para vender 30 aviões para a Latam reforçar voos regionais no Brasil,"A Embraer está em negociações para vender pelo menos 30 aeronaves à Latam, com o governo brasileiro apoiando a oferta e discutindo financiamento pelo BNDES.","A companhia aérea, que atualmente possui 159 aviões no Brasil, também mantém tratativas com a Airbus, que possui uma relação sólida com a Latam.","As negociações ainda estão em andamento, enquanto a Latam anuncia investimentos de US$ 2 bilhões e ações para ampliar sua operação regional no país.",Felicidade,Positivo,Felicidade,Positivo,Felicidade,Positivo,Felicidade,Positivo,Felicidade,Positivo
